ticker,group
ULTA,sp500_2021
UNH,sp500_2021
URI,sp500_2021
USB,sp500_2021
VLO,sp500_2021
VLTO,sp500_post2021_addition
VMC,sp500_2021
VMRK,sp500_2021
VRSK,sp500_2021
VRSN,sp500_2021
VTR,sp500_2021
VTRS,sp500_2021
WAB,sp500_2021
WAT,sp500_2021
WBA,sp500_2021
WDC,sp500_2021
WEC,sp500_2021
WELL,sp500_2021
WHR,sp500_2021
WLTW,sp500_2021
WM,sp500_2021
WMB,sp500_2021
WRB,sp500_2021
WST,sp500_2021
WY,sp500_2021
WYNN,sp500_2021
XEL,sp500_2021
XLNX,sp500_2021
XOM,sp500_2021
XYL,sp500_2021
YUM,sp500_2021
ZBH,sp500_2021
ZBRA,sp500_2021
ZION,sp500_2021
ZTS,sp500_2021
ALXN,sp500_2021
BBWI,sp500_2021
CAG,sp500_2021
CXO,sp500_2021
DISCK,sp500_2021
DXC,sp500_2021
ECHO,sp500_2021
EMN,sp500_2021
FLIR,sp500_2021
FLS,sp500_2021
FTI,sp500_2021
GPS,sp500_2021
HBI,sp500_2021
HFC,sp500_2021
KMX,sp500_2021
KSU,sp500_2021
LEG,sp500_2021
MXIM,sp500_2021
NOV,sp500_2021
PRGO,sp500_2021
SLG,sp500_2021
TIF,sp500_2021
UA,sp500_2021
UNM,sp500_2021
VAR,sp500_2021
VFC,sp500_2021
VNO,sp500_2021
VNT,sp500_2021
WU,sp500_2021
XRAY,sp500_2021
XRX,sp500_2021
A,sp500_2021_start_panel
AAL,sp500_2021_start_panel
AAP,sp500_2021_start_panel
AAPL,sp500_2021_start_panel
ABBV,sp500_2021_start_panel
ABMD,sp500_2021_start_panel
ABT,sp500_2021_start_panel
ACN,sp500_2021_start_panel
ADBE,sp500_2021_start_panel
ADI,sp500_2021_start_panel
ADM,sp500_2021_start_panel
ADP,sp500_2021_start_panel
ADSK,sp500_2021_start_panel
AEE,sp500_2021_start_panel
AEP,sp500_2021_start_panel
AES,sp500_2021_start_panel
AFL,sp500_2021_start_panel
AIG,sp500_2021_start_panel
AIZ,sp500_2021_start_panel
AJG,sp500_2021_start_panel
AKAM,sp500_2021_start_panel
ALB,sp500_2021_start_panel
ALGN,sp500_2021_start_panel
ALK,sp500_2021_start_panel
ALL,sp500_2021_start_panel
ALLE,sp500_2021_start_panel
ALXN,sp500_2021_start_panel
AMAT,sp500_2021_start_panel
AMCR,sp500_2021_start_panel
AMD,sp500_2021_start_panel
AME,sp500_2021_start_panel
AMGN,sp500_2021_start_panel
AMP,sp500_2021_start_panel
AMT,sp500_2021_start_panel
AMZN,sp500_2021_start_panel
ANET,sp500_2021_start_panel
ANSS,sp500_2021_start_panel
AON,sp500_2021_start_panel
AOS,sp500_2021_start_panel
APA,sp500_2021_start_panel
APD,sp500_2021_start_panel
APH,sp500_2021_start_panel
APTV,sp500_2021_start_panel
ARE,sp500_2021_start_panel
ATO,sp500_2021_start_panel
ATVI,sp500_2021_start_panel
AVB,sp500_2021_start_panel
AVGO,sp500_2021_start_panel
AVY,sp500_2021_start_panel
AWK,sp500_2021_start_panel
AXP,sp500_2021_start_panel
AZO,sp500_2021_start_panel
BA,sp500_2021_start_panel
BAC,sp500_2021_start_panel
BALL,sp500_2021_start_panel
BAX,sp500_2021_start_panel
BBWI,sp500_2021_start_panel
BBY,sp500_2021_start_panel
BDX,sp500_2021_start_panel
BEN,sp500_2021_start_panel
BF.B,sp500_2021_start_panel
BIIB,sp500_2021_start_panel
BIO,sp500_2021_start_panel
BKNG,sp500_2021_start_panel
BKR,sp500_2021_start_panel
BLK,sp500_2021_start_panel
BMY,sp500_2021_start_panel
BNY,sp500_2021_start_panel
BR,sp500_2021_start_panel
BRK.B,sp500_2021_start_panel
BSX,sp500_2021_start_panel
BWA,sp500_2021_start_panel
BXP,sp500_2021_start_panel
C,sp500_2021_start_panel
CAG,sp500_2021_start_panel
CAH,sp500_2021_start_panel
CARR,sp500_2021_start_panel
CAT,sp500_2021_start_panel
CB,sp500_2021_start_panel
CBRE,sp500_2021_start_panel
CCI,sp500_2021_start_panel
CCL,sp500_2021_start_panel
CDNS,sp500_2021_start_panel
CDW,sp500_2021_start_panel
CE,sp500_2021_start_panel
CERN,sp500_2021_start_panel
CF,sp500_2021_start_panel
CFG,sp500_2021_start_panel
CHD,sp500_2021_start_panel
CHRW,sp500_2021_start_panel
CHTR,sp500_2021_start_panel
CI,sp500_2021_start_panel
CINF,sp500_2021_start_panel
CL,sp500_2021_start_panel
CLX,sp500_2021_start_panel
CMA,sp500_2021_start_panel
CMCSA,sp500_2021_start_panel
CME,sp500_2021_start_panel
CMG,sp500_2021_start_panel
CMI,sp500_2021_start_panel
