lei,name,country_code,n_filings,first_period_end,last_period_end,source,built_at
815600466855546A2E98,COIMA RES SOCIETA' PER AZIONI O IN FORMA ABBREVIATA COIMA RES S.P.A.,it,2,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560048ECF8D2059980,ENAV S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004B244AA70DE787,CREDITO EMILIANO S.P.A. ABBREVIABILE IN CREDEMBANCA E IN CREDEM,it,5,2022-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004C3711C92F7648,INTERCOS S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004CC118B7885065,AEROPORTO GUGLIELMO MARCONI DI BOLOGNA S.P.A.,it,2,2024-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004D03EAA217DB61,PRIMA INDUSTRIE - S.P.A.,it,1,2021-12-31,2021-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004E40D6A02C5046,"""MOLTIPLY GROUP S.P.A."", OVVERO, IN BREVE, ""MOL GROUP S.P.A."" O ANCHE ""GRUPPO MOL S.P.A.""",it,10,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156004FC8565D73AE78,EUROGROUP LAMINATIONS S.P.A.,it,3,2023-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600511D7D0F6A5955,NEWLAT FOOD S.P.A.,it,3,2021-12-31,2024-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600522538355AE429,BFF BANK S.P.A.,it,4,2022-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560052ACB913425086,VINCENZO ZUCCHI - SOCIETA' PER AZIONI,it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005420362AE59184,BANCA IFIS S.P.A.,it,5,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
81560054B48979390098,VIANINI SOCIETA' PER AZIONI,it,3,2021-12-31,2023-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
815600583BE5BC67EB82,UNIEURO S.P.A.,it,1,2022-02-28,2022-02-28,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005BDF49128B6239,FINCANTIERI S.P.A.,it,5,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
8156005CE5E7340CCA86,UNIPOL ASSICURAZIONI S.P.A.,it,8,2021-12-31,2025-12-31,filings.xbrl.org,2026-09-05T23:33:40.888384+00:00
